Index,Customer Id,First Name,Last Name,Company,City,Country,Phone 1,Phone 2,Email,Subscription Date_year,Subscription Date_month,Subscription Date_day,Subscription Date_weekday
49,71,5,13,67,59,76,88,21,60,2022,3,10,3
50,34,54,64,38,70,6,10,67,12,2021,12,2,3
51,46,36,44,73,51,14,27,1,83,2021,3,19,4
52,92,79,15,53,79,1,90,85,93,2021,3,27,5
53,99,69,35,16,9,71,63,2,84,2021,3,8,0
54,85,84,80,8,53,40,47,53,17,2020,10,15,3
55,96,77,92,64,90,21,85,52,34,2022,1,13,3
56,53,72,39,59,42,56,61,58,32,2020,5,25,0
57,87,70,61,21,48,63,72,48,94,2021,1,25,0
58,47,22,75,65,17,76,15,81,40,2021,3,17,2
59,37,49,46,61,73,69,38,94,65,2020,11,15,6
60,52,50,41,72,33,65,53,75,51,2020,12,20,6
61,79,60,78,6,20,61,93,42,64,2020,8,21,4
62,40,81,43,75,68,75,69,26,95,2020,12,10,3
63,83,27,53,10,94,22,26,0,50,2022,3,24,3
64,75,15,50,85,82,51,99,23,52,2022,5,15,6
65,24,28,60,45,32,37,25,51,54,2021,1,2,5
66,98,31,57,17,46,39,73,72,28,2021,4,23,4
67,12,61,11,34,28,52,39,59,71,2020,1,20,0
68,77,87,0,25,85,34,12,90,66,2020,8,18,1
69,20,90,21,95,31,25,54,28,99,2021,1,31,6
70,55,76,34,93,26,14,84,93,2,2020,2,3,0
71,54,2,10,44,57,32,56,74,53,2021,2,20,5
72,69,75,82,20,55,47,78,98,0,2020,2,23,6
73,72,10,55,41,23,84,50,41,14,2020,8,22,5
74,44,4,6,69,75,62,95,8,4,2020,2,9,6
75,59,73,87,33,71,68,45,39,97,2022,1,15,5
76,89,25,81,15,7,77,31,6,72,2020,7,11,5
77,49,7,96,52,97,35,1,47,62,2021,7,24,5
78,76,13,66,57,47,49,74,87,47,2020,10,21,2
79,57,55,77,78,69,19,52,35,21,2020,6,8,0
80,45,1,8,19,88,31,16,83,25,2020,9,19,5
81,61,56,52,4,8,44,79,63,22,2021,11,13,5
82,68,48,65,18,43,64,19,13,16,2021,9,12,6
83,65,39,72,27,15,33,18,54,41,2020,12,28,0
84,30,14,17,28,81,54,91,16,46,2021,11,15,0
85,1,20,47,55,54,23,44,71,59,2020,2,18,1
86,51,29,16,88,61,53,58,7,89,2022,5,13,4
87,94,26,94,60,49,41,13,4,49,2020,7,21,1
88,64,3,91,91,16,8,65,61,85,2020,11,10,1
89,95,89,54,14,87,83,57,78,37,2021,4,15,3
90,18,58,26,23,63,50,83,96,82,2021,1,9,5
91,23,68,12,9,5,9,55,25,26,2020,3,26,3
92,39,80,27,77,77,30,33,50,67,2021,7,6,1
93,81,19,2,46,83,2,66,43,24,2021,6,29,1
94,21,82,95,48,27,68,59,10,1,2021,4,4,6
95,48,23,19,63,11,42,36,55,33,2022,2,17,3
96,88,47,36,11,22,28,3,56,36,2022,1,30,6
97,58,60,1,94,52,70,34,84,87,2021,7,10,5
98,11,32,37,82,65,68,30,34,76,2021,9,18,5
99,86,92,24,26,41,4,11,57,61,2021,8,11,2
100,9,16,45,47,37,29,21,91,20,2020,3,11,2
